YearPublished,MinPlayers,MaxPlayers,ComAgeRec,Kickstarted,AvgGameweight,ComAvgPlaytime,ComAvgPlaytime_log,PopularityScore,CategoryLabel,Rating
2015,2,4,14.666666666666666,0,3.0834,150.0,5.017279836814924,0.30613012343295076,3,Medium
1987,2,4,10.0,0,1.1468500000000001,10.0,2.3978952727983707,0.17870677544597596,0,Low
1982,2,2,16.0,0,2.5881499999999997,180.0,5.198497031265826,0.1959836039210982,3,Low
1981,2,2,15.0,0,3.50445,120.0,4.795790545596741,0.3920370683150706,3,High
1972,2,2,12.0,0,2.44895,4.0,1.6094379124341003,0.2558681004857675,3,Medium
2002,2,2,12.0,0,3.4759,120.0,4.795790545596741,0.19633526730446224,3,Medium
1989,2,2,12.0,0,2.42075,120.0,4.795790545596741,0.2629341189643174,3,Low
2019,1,1,14.0,0,2.55145,75.0,4.330733340286331,0.2157512220135296,3,Medium
2012,2,5,16.0,0,4.2748,1080.0,6.985641817639208,0.337952976824301,3,High
2018,2,4,8.0,1,1.77305,22.5,3.1570004211501135,0.23475665575903065,0,Medium
2000,1,6,11.0,0,1.9418000000000002,30.0,3.4339872044851463,0.677317912985996,1,Medium
2002,2,4,8.0,0,1.6917,45.0,3.828641396489095,0.4350649597144898,4,Low
2013,2,5,11.428571428571429,1,3.0929,60.0,4.110873864173311,0.45641219558014157,2,Medium
1983,2,4,15.0,0,3.1443000000000003,180.0,5.198497031265826,0.24400137577343275,3,High
2016,2,2,10.0,0,1.3631,12.5,2.6026896854443837,0.37299989259242583,2,Low
2018,3,5,10.0,0,2.1229,37.5,3.6506582412937387,0.25332928349104195,0,Medium
2014,2,8,8.0,0,1.1463,15.0,2.772588722239781,0.2479905949862854,0,Medium
2005,2,2,14.0,0,2.79375,120.0,4.795790545596741,0.3085561023429465,3,Medium
2015,1,6,12.5,1,3.3861,120.0,4.795790545596741,0.4991001424791906,1,High
2012,2,6,12.0,0,2.07355,60.0,4.110873864173311,0.20971174030436082,0,Low
1999,2,6,10.38095238095238,0,2.6509,90.0,4.51085950651685,0.6593034490701195,2,High
2013,1,4,10.0,1,1.9339499999999998,45.0,3.828641396489095,0.38419061859471865,0,Low
2013,2,2,11.333333333333334,1,1.9484,25.0,3.258096538021482,0.33909733202900094,2,Low
2014,2,6,7.317073170731708,0,1.29595,30.0,3.4339872044851463,0.7419919863702622,4,Medium
2008,2,6,6.875,0,1.15425,20.0,3.044522437723423,0.509824983755197,7,Low
2015,2,4,8.0,1,2.0561499999999997,12.5,2.6026896854443837,0.1696103271052567,0,Low
2005,3,5,10.0,0,1.81395,30.0,3.4339872044851463,0.3391043851043743,1,Low
2011,2,6,8.88888888888889,0,1.49495,25.0,3.258096538021482,0.5851935674754457,4,Medium
2015,1,5,11.0,1,2.2042,30.0,3.4339872044851463,0.5153424594969778,0,High
2008,2,4,3.0,0,1.149,20.0,3.044522437723423,0.20947243841756308,0,Low
2004,4,8,10.0,0,1.5643,45.0,3.828641396489095,0.5115468813433282,7,Medium
2016,2,4,9.0,0,1.6802000000000001,30.0,3.4339872044851463,0.20832251459538523,0,Medium
2013,2,5,8.0,1,1.0577,37.5,3.6506582412937387,0.2291621512436025,0,Low
2021,1,6,8.0,0,1.5955,15.0,2.772588722239781,0.23234308599033104,0,High
2017,2,4,9.0,0,1.22655,30.0,3.4339872044851463,0.31163296798340934,4,Medium
2004,2,6,7.0,0,1.4223499999999998,30.0,3.4339872044851463,0.4909246387068672,4,Medium
1974,2,2,10.0,0,1.1207,30.0,3.4339872044851463,0.16870913916824476,6,Low
2011,2,4,3.8,0,1.09365,10.0,2.3978952727983707,0.2829669840025708,0,Low
1964,2,4,11.882352941176473,0,2.362,180.0,5.198497031265826,0.511734731795398,3,Low
2010,2,2,7.0,0,1.0792000000000002,10.0,2.3978952727983707,0.23060671080435374,0,Low
2020,1,6,9.047619047619047,1,2.30725,52.5,3.979681653901961,0.6105936498450024,1,High
2019,3,8,16.0,0,1.36765,25.0,3.258096538021482,0.3737749647969831,0,Medium
2017,2,8,6.0,0,2.07355,15.0,2.772588722239781,0.15177593167100495,0,Low
2019,3,5,14.0,0,4.13415,300.0,5.707110264748875,0.340535005338383,0,High
2020,2,4,12.0,0,2.341,60.0,4.110873864173311,0.3129755467522098,0,High
2017,1,6,10.0,0,2.1844,60.0,4.110873864173311,0.5395407164163571,1,High
1968,1,2,10.0,0,2.47465,60.0,4.110873864173311,0.21856836392508364,0,High
1921,2,2,7.166666666666667,0,1.3282500000000002,10.0,2.3978952727983707,0.41280375530905294,1,Medium
2019,2,6,12.0,0,2.07355,30.0,3.4339872044851463,0.20695623146554204,0,Medium
2002,2,10,10.0,0,2.84355,60.0,4.110873864173311,0.46438333017713573,5,Medium
2021,2,4,8.0,0,1.903,40.0,3.713572066704308,0.4121300150392724,0,High
2014,2,2,10.0,1,1.96345,15.0,2.772588722239781,0.2944462347965386,0,Low
2011,1,8,11.637254901960784,0,2.4602500000000003,90.0,4.51085950651685,0.8213840970805539,1,Medium
2005,2,4,10.0,0,3.4453,37.5,3.6506582412937387,0.22536226413365248,6,High
1987,2,4,10.0,0,2.07355,90.0,4.51085950651685,0.1760132295843277,0,Medium
2019,2,2,9.2,0,1.92265,20.0,3.044522437723423,0.6372207486281576,4,High
2012,2,2,6.0,0,2.01445,5.0,1.791759469228055,0.292739534400125,0,Low
2001,2,6,11.333333333333334,0,3.3455500000000002,60.0,4.110873864173311,0.3447271815542277,6,Medium
2011,2,2,12.0,0,2.4295,20.0,3.044522437723423,0.18169106380032848,0,Low
2015,4,6,8.666666666666666,1,1.8877,30.0,3.4339872044851463,0.18248732112411914,0,High
2016,2,4,9.6,1,2.32145,15.0,2.772588722239781,0.3496953926680869,6,Medium
2005,2,4,12.0,0,1.9749999999999999,10.0,2.3978952727983707,0.3746850083022843,6,Low
2003,2,4,10.0,0,2.30465,45.0,3.828641396489095,0.24064745832165851,0,Low
2017,2,4,8.0,1,1.9093,25.0,3.258096538021482,0.3530309247208475,0,Medium
2009,2,2,10.0,0,1.6926,30.0,3.4339872044851463,0.27250628105565566,5,Medium
2017,2,4,8.666666666666666,0,2.13195,52.5,3.979681653901961,0.33802424439668266,0,Medium
2015,1,4,10.666666666666666,0,2.32095,30.0,3.4339872044851463,0.45314398400081457,2,High
2005,2,6,6.0,0,1.06575,15.0,2.772588722239781,0.2746851192026891,8,Low
2011,2,4,5.0,0,1.1214499999999998,20.0,3.044522437723423,0.2135587169332046,0,Low
2008,1,2,14.0,0,2.62835,45.0,3.828641396489095,0.40164397838121274,3,High
2014,1,4,9.7,0,2.08915,30.0,3.4339872044851463,0.6672448101416208,2,Medium
2015,2,4,12.5,0,2.89755,75.0,4.330733340286331,0.5943558949323418,2,High
1998,2,4,9.307692307692308,0,2.6350499999999997,45.0,3.828641396489095,0.8004906289861303,2,High
1989,2,2,12.0,0,2.59185,300.0,5.707110264748875,0.292185511147478,3,Low
2014,2,4,12.0,1,2.0868,30.0,3.4339872044851463,0.24340967750695325,0,Low
2008,2,5,15.1,0,3.5246,240.0,5.484796933490655,0.5325688536239888,3,High
2021,1,4,12.0,0,3.2716000000000003,90.0,4.51085950651685,0.3808265049752002,0,High
2020,2,2,10.0,0,1.5836999999999999,20.0,3.044522437723423,0.38120168171462776,0,High
2019,1,24,14.0,0,2.84855,302.5,5.715381610499553,0.34227003954085455,0,Medium
1982,2,8,16.0,0,2.24535,120.0,4.795790545596741,0.36366891754471975,3,Medium
